time, distance, loudness, orientationX, orientationY, orientationZ, accelerationX, accelerationY, accelerationZ
1553260115.803828,521,111,0.023033,0.003595,0.000514,-0.000549,0.001038,1.075928
1553260115.882019,521,475,0.036096,-0.005762,0.014491,-0.015503,-0.001709,1.068909
1553260115.959895,521,222,0.007662,0.003646,-0.003589,0.003845,0.014404,1.078735
1553260116.037746,521,86,-0.002621,0.044360,-0.013694,0.014648,-0.005737,1.068909
1553260116.115601,521,65,0.018170,0.004308,-0.000057,0.000061,-0.022583,1.072327
1553260116.193452,521,60,0.016399,-0.006781,0.009745,-0.010437,-0.003540,1.063538
1553260116.271314,521,70,0.008736,0.005754,-0.002336,0.002502,-0.003845,1.075195
1553260116.349170,521,94,0.014141,0.005663,-0.002860,0.010925,-0.013367,1.058594
1553260116.427847,521,113,0.031759,-0.018240,0.014812,-0.002686,-0.002869,1.075134
1553260116.506820,521,159,0.000403,0.004128,-0.002351,0.024963,-0.064392,1.068542
1553260116.585813,521,226,-0.020655,0.028067,-0.035267,-0.004944,0.011597,1.086914
1553260116.664667,521,195,0.043378,-0.013261,0.024068,0.002441,-0.004822,1.137756
1553260116.743628,223,126,0.004388,0.009063,-0.010495,0.014954,-0.004456,1.088562
1553260116.822625,223,91,0.018044,0.003126,-0.000063,-0.008057,0.002991,0.998657
1553260116.901597,521,75,0.009402,-0.000343,-0.003376,-0.002563,-0.002686,1.068054
1553260116.980552,521,103,0.011381,0.000670,-0.001786,-0.002625,-0.008667,1.098389
1553260117.059515,521,114,0.017127,0.002460,-0.004634,0.001343,-0.003296,1.064697
1553260117.138478,521,115,0.001540,0.005206,-0.005092,-0.011169,0.018616,1.094116
1553260117.217469,521,201,-0.004340,0.016665,-0.016454,0.003235,-0.018921,1.230835
1553260117.296335,521,127,0.029418,-0.005812,0.013361,-0.011780,0.006042,0.923706
1553260117.375302,521,91,0.022845,0.005263,0.001144,0.001160,-0.007935,1.064209
1553260117.454300,521,95,0.011064,0.007509,-0.004227,-0.004028,-0.000732,1.091553
1553260117.533267,521,105,0.021356,0.007138,-0.001700,0.006165,-0.000488,1.064453
1553260117.612228,521,95,0.010311,0.003291,-0.002951,0.008423,-0.006409,1.058655
1553260117.691203,521,95,0.017751,0.003918,-0.001228,0.000671,-0.005554,1.054016
1553260117.770158,521,103,0.019583,0.005703,-0.005818,0.004517,-0.000977,1.127869
1553260117.849167,521,204,0.008382,0.009713,-0.012239,0.011536,-0.010986,1.164856
1553260117.928030,521,114,0.022907,-0.000203,0.004733,-0.006165,0.006897,0.900391
1553260118.006990,222,94,0.013908,0.003337,-0.000339,0.007202,-0.007507,1.090698
1553260118.085951,222,76,0.080520,0.016970,0.055431,-0.009155,0.000000,0.911682
1553260118.164951,223,118,0.000958,0.016665,-0.016044,0.004028,-0.000916,1.065979
1553260118.243943,223,165,0.012969,0.001837,-0.003674,-0.000122,-0.003479,1.116455
1553260118.322940,521,108,0.016408,0.004096,0.000546,-0.036011,-0.001831,0.637268
1553260118.401913,521,137,-0.012949,0.039350,-0.025598,0.016174,-0.014526,1.163635
1553260118.480867,521,198,0.028572,-0.012755,0.013933,-0.013733,-0.005127,1.062805
1553260118.559850,521,99,-0.001444,0.007504,-0.004058,0.001709,-0.000305,1.092896
1553260118.638870,223,143,0.000161,0.006192,-0.004147,0.005554,-0.003601,1.095642
1553260118.717836,223,95,0.030327,-0.002977,0.005468,0.006470,-0.006592,1.015320
1553260118.796811,521,93,0.012497,0.004444,-0.004613,0.006470,-0.005859,1.074829
1553260118.875799,521,107,0.025719,0.005906,-0.002250,0.005493,-0.000610,1.071289
1553260118.954756,521,117,0.026395,0.004650,-0.001320,0.054382,-0.076782,1.069702
1553260119.033725,223,94,0.011235,0.102357,-0.031672,0.007751,-0.005310,1.075378
1553260119.112731,222,90,0.043198,0.002694,-0.000344,0.031616,0.025635,1.050659
1553260119.191641,221,100,0.172981,0.187922,0.059071,0.066284,0.048279,1.075256
1553260119.270691,222,106,0.006735,-0.312844,-0.149788,0.136475,-0.032227,1.208374
1553260119.349672,221,119,-0.021394,-0.378754,0.035430,0.153259,0.599854,1.055969
1553260119.428666,221,111,-2.433943,-0.705371,-0.452941,-0.157776,0.386414,-0.065979
1553260119.507642,221,111,2.957888,-0.510964,0.266925,-0.076233,1.030945,0.177979
1553260119.586644,221,101,-0.713466,-1.228662,0.006227,-0.166565,0.900330,0.341309
1553260119.665637,221,105,2.664371,-1.179634,0.288475,-0.087036,0.946045,0.355286
1553260119.744590,221,113,2.090091,-1.336345,0.489448,-0.105957,0.968018,0.236389
1553260119.823498,221,109,2.016643,-1.329212,0.390372,-0.092285,0.972351,0.233521
1553260119.902457,221,97,2.183196,-1.319858,0.362457,-0.092712,0.968933,0.236389
1553260119.981424,221,114,2.143484,-1.317622,0.357974,-0.094360,0.971008,0.244080
1553260120.060396,221,117,2.140833,-1.320532,0.366805,-0.090332,0.978455,0.232300
