time, distance, loudness, orientationX, orientationY, orientationZ, accelerationX, accelerationY, accelerationZ
1553260015.388421,221,183,-1.111966,-1.279845,0.815592,-0.211609,0.957886,0.186279
1553260015.473871,221,438,-1.135837,-1.275378,0.798041,-0.210205,0.965637,0.191956
1553260015.551824,221,202,-1.096294,-1.281067,0.826722,-0.211365,0.958130,0.193481
1553260015.629720,221,67,-1.096821,-1.280633,0.818053,-0.209351,0.964783,0.207336
1553260015.707598,221,52,-1.104195,-1.282712,0.804298,-0.205627,0.961487,0.197754
1553260015.785476,222,53,-1.104712,-1.280153,0.810772,-0.208374,0.961975,0.200500
1553260015.863331,221,61,-1.123870,-1.281040,0.805299,-0.190796,0.953003,0.201294
1553260015.941906,221,99,-1.131797,-1.276108,0.799352,-0.216614,0.960876,0.216736
1553260016.020913,222,143,-1.113766,-1.279956,0.815647,-0.212097,0.961853,0.193787
1553260016.099948,222,107,-1.138327,-1.279954,0.795156,-0.213562,0.960510,0.196411
1553260016.178987,12,89,-1.108887,-1.280980,0.812922,-0.211426,0.960876,0.200500
1553260016.319889,18,82,-1.148589,-1.272922,0.807805,-0.218018,0.964844,0.202209
1553260016.398925,521,91,-1.105071,-1.279933,0.816671,-0.206238,0.962097,0.192871
1553260016.477946,521,134,-1.107177,-1.281967,0.811569,-0.212646,0.961731,0.193054
1553260016.556972,20,131,-1.089210,-1.280248,0.831395,-0.209900,0.963806,0.195435
1553260016.635992,12,143,-1.116000,-1.278840,0.820671,-0.208923,0.960632,0.189270
1553260016.714991,9,107,-1.125794,-1.277064,0.806003,-0.214722,0.960327,0.198669
1553260016.794014,7,98,-1.136747,-1.277578,0.800855,-0.205566,0.959961,0.190186
1553260016.873009,4,95,-1.130835,-1.276995,0.809755,-0.207764,0.959900,0.190613
1553260016.952009,2,91,-1.165280,-1.274418,0.786133,-0.206299,0.964539,0.193604
1553260017.031064,2,127,-1.102032,-1.278317,0.816954,-0.206543,0.961182,0.185547
1553260017.109997,1,130,-1.146140,-1.281604,0.801553,-0.212891,0.961426,0.188110
1553260017.188995,1,97,-1.139432,-1.274524,0.800555,-0.207581,0.962524,0.189148
1553260017.268000,1,109,-1.094152,-1.275862,0.811253,-0.204834,0.961426,0.187317
1553260017.347008,1,107,-1.141059,-1.277350,0.797593,-0.205383,0.962646,0.195618
1553260017.426019,0,113,-1.114367,-1.281364,0.814005,-0.210388,0.963562,0.206482
1553260017.505006,0,111,-1.088441,-1.281927,0.816798,-0.204407,0.963501,0.192688
1553260017.584017,0,98,-1.133837,-1.279576,0.802467,-0.204041,0.959412,0.203918
1553260017.663065,0,105,-1.101410,-1.278381,0.814056,-0.217285,0.967224,0.200378
1553260017.741995,0,100,-1.115416,-1.282354,0.814402,-0.210266,0.964172,0.198364
1553260017.821074,0,109,-1.112026,-1.279951,0.813294,-0.209717,0.964539,0.193176
1553260017.900070,2,117,-1.120832,-1.281218,0.804832,-0.206360,0.962585,0.189026
