time, distance, loudness, orientationX, orientationY, orientationZ, accelerationX, accelerationY, accelerationZ
1553260083.429844,521,75,-1.076906,-1.292494,0.822208,-0.208435,0.964905,0.203369
1553260083.509127,521,79,-1.069320,-1.288223,0.828073,-0.204651,0.967590,0.186340
1553260083.588132,521,106,-1.127648,-1.286204,0.806197,-0.208618,0.962891,0.197205
1553260083.667112,222,197,-1.195884,-1.294157,0.747024,-0.098328,1.000732,0.144226
1553260083.746125,222,174,-1.281931,-1.145339,0.881843,-0.186890,0.982544,0.210815
1553260083.825097,222,132,-1.332715,-1.285522,0.609226,-0.202881,0.995117,0.224365
1553260083.904001,222,67,-0.827756,-1.309346,1.010810,-0.212402,0.970825,0.174866
1553260083.982986,222,83,-1.204854,-1.264489,0.764353,-0.210266,0.969116,0.201965
1553260084.061985,521,66,-1.116546,-1.284682,0.819403,-0.205688,0.953857,0.189148
1553260084.141005,521,77,-1.164151,-1.277467,0.795499,-0.203003,0.964905,0.182312
1553260084.220008,521,116,-1.086955,-1.284997,0.826525,-0.148865,0.954773,0.123657
1553260084.298983,521,168,-1.254132,-1.172047,0.836862,-0.182556,0.964478,0.205750
1553260084.377961,521,131,-1.189303,-1.229622,0.817810,-0.224365,0.961914,0.189392
1553260084.457008,521,130,-0.973753,-1.319487,0.884538,-0.147766,0.685425,0.077454
1553260084.535889,521,155,-1.497966,-1.160962,0.661639,-0.227295,1.059326,0.316040
1553260084.614896,521,200,-0.975455,-1.394309,0.810625,-0.174377,0.992065,0.152771
1553260084.693916,521,168,-1.015331,-1.336747,0.846433,-0.220947,0.994629,0.197449
1553260084.772911,223,123,-1.226906,-1.256064,0.758325,-0.047424,1.000977,0.243652
1553260084.851904,521,247,-0.866292,-1.405156,0.889378,-0.231445,0.964966,0.207703
1553260084.930866,223,166,-0.882031,-1.273321,1.016520,-0.219055,1.038025,0.109680
1553260085.009882,222,143,-0.983556,-1.328109,0.885531,-0.193848,0.916321,0.148254
1553260085.088890,221,82,-1.409718,-1.197394,0.680842,-0.217346,0.915649,0.238342
1553260085.167767,221,106,-1.265552,-1.254518,0.705691,-0.216431,0.980591,0.216980
1553260085.246748,221,137,-0.740672,-1.331568,1.052975,-0.212952,0.972717,0.184387
1553260085.325746,221,142,-1.211054,-1.263528,0.750414,-0.211609,0.955811,0.187561
1553260085.404748,221,76,-1.119455,-1.275809,0.815472,-0.208008,0.949219,0.200256
1553260085.483713,221,99,-1.149098,-1.272630,0.824608,-0.206116,0.970093,0.186768
1553260085.562686,221,119,-1.125821,-1.296588,0.808208,-0.200073,0.963013,0.207458
1553260085.641744,221,119,-1.185285,-1.294069,0.756485,-0.193604,0.961731,0.179565
1553260085.720733,221,111,-1.160517,-1.284875,0.793690,-0.192749,0.959717,0.179626
1553260085.799652,221,170,-1.130102,-1.307159,0.813388,-0.180176,0.993164,0.188293
1553260085.878688,221,343,-1.127407,-1.312549,0.796183,-0.185791,0.969238,0.185120
1553260085.957648,221,314,-1.169188,-1.305064,0.779154,-0.187927,0.965515,0.180969
1553260086.036645,222,301,-1.158480,-1.305616,0.783423,-0.183228,0.976379,0.165710
1553260086.115632,222,349,-1.229207,-1.291222,0.746787,-0.190369,0.968384,0.191040
1553260086.194582,222,319,-1.149601,-1.307427,0.781273,-0.184082,0.970581,0.176697
1553260086.273557,222,300,-1.177841,-1.304448,0.774144,-0.192688,0.965637,0.187439
