[info] getting ambient noise...
[info] done... start knocking!
time,distance,loudness,noise,noiseAvg,loudnessHPF,noiseHPF,knockDetected,timeSinceLastKnock
1554991451.12, 3.00, 74.00, 71.00, 106.54, 7.40, 7.10, False, 1
1554991451.19, 2.00, 74.00, 71.00, 106.54, 0.74, 0.71, False, 2
1554991451.26, 2.00, 79.00, 113.00, 106.54, 0.57, 4.27, False, 3
1554991451.32, 2.00, 83.00, 85.00, 106.54, 0.46, -2.37, False, 4
1554991451.39, 2.00, 85.00, 94.00, 106.54, 0.25, 0.66, False, 5
1554991451.45, 2.00, 86.00, 85.00, 106.54, 0.12, -0.83, False, 6
1554991451.52, 2.00, 86.00, 83.00, 106.54, 0.01, -0.28, False, 7
1554991451.58, 2.00, 89.00, 89.00, 106.54, 0.30, 0.57, False, 8
1554991451.65, 2.00, 103.00, 188.00, 106.54, 1.43, 9.96, False, 9
1554991451.72, 3.00, 99.00, 52.00, 106.54, -0.26, -12.60, False, 10
1554991451.78, 3.00, 93.00, 24.00, 106.54, -0.63, -4.06, False, 11
1554991451.85, 3.00, 92.00, 39.00, 106.54, -0.16, 1.09, False, 12
1554991451.91, 2.00, 92.00, 43.00, 106.54, -0.02, 0.51, False, 13
1554991451.98, 2.00, 89.00, 21.00, 106.54, -0.30, -2.15, False, 14
1554991452.04, 2.00, 87.00, 31.00, 106.54, -0.23, 0.79, False, 15
1554991452.11, 2.00, 84.00, 25.00, 106.54, -0.32, -0.52, False, 16
1554991452.17, 3.00, 84.00, 30.00, 106.54, -0.03, 0.45, False, 17
1554991452.24, 3.00, 85.00, 61.00, 106.54, 0.10, 3.14, False, 18
1554991452.31, 3.00, 87.00, 71.00, 106.54, 0.21, 1.31, False, 19
1554991452.37, 3.00, 95.00, 199.00, 106.54, 0.82, 12.93, False, 20
1554991452.44, 3.00, 95.00, 94.00, 106.54, 0.08, -9.21, False, 21
(python3_env) g54mrt@raspberrypi:~ $ packet_write_wait: Connection to 10.148.187.252 port 22: Broken pipe

