
(python3_env) g54mrt@raspberrypi:~ $ python3 KnockingScript.py

^[[B^[[A
Time,Ultrasound,Loudness,Noise,AvgSound,LoudnessHPF,NoiseHPF
1554463085.99,214.00,122.00,83.00,130.88,12.20,8.30,False
1554463086.10,214.00,165.00,325.00,130.88,5.52,25.03,False
1554463086.22,214.00,124.00,181.00,130.88,-3.55,-11.90,False
1554463086.34,214.00,105.00,83.00,130.88,-2.25,-10.99,False
1554463086.45,214.00,109.00,84.00,130.88,0.17,-1.00,False
1554463086.57,214.00,124.00,82.00,130.88,1.52,-0.30,False
1554463086.68,214.00,95.00,82.00,130.88,-2.75,-0.03,False
1554463086.80,214.00,101.00,287.00,130.88,0.33,20.50,False
1554463086.91,214.00,98.00,255.00,130.88,-0.27,-1.15,False
1554463087.03,214.00,279.00,82.00,130.88,18.07,-17.42,False
1554463087.15,5.00,101.00,84.00,130.88,-15.99,-1.54,False
1554463087.26,214.00,116.00,83.00,130.88,-0.10,-0.25,False
1554463087.38,214.00,96.00,83.00,130.88,-2.01,-0.03,False
1554463087.49,214.00,107.00,130.00,130.88,0.90,4.70,False
1554463087.61,214.00,119.00,174.00,130.88,1.29,4.87,False
1554463087.72,214.00,261.00,82.00,130.88,14.33,-8.71,False
1554463087.84,214.00,155.00,275.00,130.88,-9.17,18.43,False
1554463087.96,214.00,18.00,81.00,130.88,-14.62,-17.56,False
1554463088.07,6.00,89.00,88.00,130.88,5.64,-1.06,False
1554463088.19,12.00,100.00,175.00,130.88,1.66,8.59,False
1554463088.30,215.00,109.00,82.00,130.88,1.07,-8.44,False
1554463088.42,14.00,117.00,154.00,130.88,0.91,6.36,False
1554463088.54,9.00,102.00,82.00,130.88,-1.41,-6.56,False
1554463088.65,217.00,83.00,82.00,130.88,-2.04,-0.66,False
1554463088.77,17.00,124.00,83.00,130.88,3.90,0.03,False
1554463088.88,217.00,118.00,82.00,130.88,-0.21,-0.10,False
1554463089.00,13.00,124.00,407.00,130.88,0.58,32.49,False
1554463089.12,3.00,115.00,82.00,130.88,-0.84,-29.25,False
1554463089.23,214.00,97.00,82.00,130.88,-1.88,-2.93,False
1554463089.35,10.00,73.00,247.00,130.88,-2.59,16.21,False
1554463089.46,216.00,100.00,82.00,130.88,2.44,-14.88,False
1554463089.58,217.00,121.00,82.00,130.88,2.34,-1.49,False
1554463089.70,216.00,119.00,80.00,130.88,0.03,-0.35,False
1554463089.81,215.00,140.00,195.00,130.88,2.10,11.47,False
1554463089.93,6.00,95.00,116.00,130.88,-4.29,-6.75,False
1554463090.04,6.00,89.00,150.00,130.88,-1.03,2.72,False
1554463090.16,5.00,125.00,81.00,130.88,3.50,-6.63,False
1554463090.27,5.00,126.00,83.00,130.88,0.45,-0.46,False
1554463090.39,5.00,138.00,139.00,130.88,1.24,5.55,False
1554463090.51,5.00,197.00,385.00,130.88,6.02,25.16,True
1554463090.62,3.00,263.00,81.00,130.88,7.20,-27.88,False
1554463090.74,11.00,117.00,82.00,130.88,-13.88,-2.69,False
1554463090.85,7.00,228.00,82.00,130.88,9.71,-0.27,False
1554463090.97,216.00,74.00,197.00,130.88,-14.43,11.47,False
1554463091.09,215.00,9.00,185.00,130.88,-7.94,-0.05,False
1554463091.20,19.00,33.00,131.00,130.88,1.61,-5.41,False
1554463091.32,214.00,52.00,147.00,130.88,2.06,1.06,False
1554463091.43,214.00,101.00,195.00,130.88,5.11,4.91,False
1554463091.55,6.00,97.00,133.00,130.88,0.11,-5.71,False
1554463091.66,6.00,191.00,779.00,130.88,9.41,64.03,True
1554463091.78,215.00,485.00,82.00,130.88,30.34,-63.30,False
1554463091.90,9.00,53.00,84.00,130.88,-40.17,-6.13,False
1554463092.01,14.00,5.00,127.00,130.88,-8.82,3.69,False
1554463092.13,20.00,0.00,168.00,130.88,-1.38,4.47,False
1554463092.24,18.00,0.00,80.00,130.88,-0.14,-8.35,False
1554463092.36,6.00,44.00,288.00,130.88,4.39,19.96,False
1554463092.47,8.00,53.00,400.00,130.88,1.34,13.20,False
1554463092.59,7.00,95.00,265.00,130.88,4.33,-12.18,False
1554463092.71,216.00,94.00,171.00,130.88,0.33,-10.62,False
1554463092.82,19.00,122.00,229.00,130.88,2.83,4.74,False
1554463092.94,6.00,112.00,251.00,130.88,-0.72,2.67,False
1554463093.05,832.00,341.00,82.00,130.88,22.83,-16.63,False
